name,score,File
PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,0.8,semifamous_339_d_3_5.txt
Jackie Robinson,0.8,semifamous_229_d_3_10.txt
Sunil Chhetri,0.9,semifamous_154_d_3_4.txt
Wilbur Scoville,0.8,semifamous_4_d_3_5.txt
Lionel Messi,0.9,semifamous_94_d_3_4.txt
Lionel Messi,0.9,semifamous_41_d_3_8.txt
UNKNOWN,0.5,semifamous_310_d_3_8.txt
Barack Obama,0.9,semifamous_137_d_3_7.txt
Lionel Messi,0.9,semifamous_21_d_3_3.txt
PERSON_FIRSTNAME_2 K. PERSON_LASTNAME_1,0.9,semifamous_195_d_3_9.txt
Cristiano Ronaldo,0.9,semifamous_173_d_3_3.txt
Henry Ford,0.9,semifamous_92_d_3_2.txt
David Beckham,0.9,semifamous_107_d_3_8.txt
Jackie Robinson,0.9,semifamous_235_d_3_10.txt
Virat Kohli,0.9,semifamous_44_d_3_6.txt
Ruth Bader Ginsburg,0.9,semifamous_208_d_3_7.txt
Sergei Semak,0.8,semifamous_219_d_3_8.txt
Thurgood Marshall,0.9,semifamous_102_d_3_7.txt
George Westinghouse,0.9,semifamous_285_d_3_2.txt
John Adams,0.95,semifamous_42_d_3_1.txt
Elbridge Gerry,0.9,semifamous_288_d_3_1.txt
Yassine Benzia,0.8,semifamous_167_d_3_3.txt
Wilbur Wonka,0.8,semifamous_334_d_3_5.txt
Cyrus,0.8,semifamous_110_d_3_2.txt
John Deere,0.9,semifamous_348_d_3_2.txt
Walter K. Person,0.9,semifamous_198_d_3_9.txt
Jean Baptiste Du Sable,0.9,semifamous_91_d_3_9.txt
Thomas Edison,0.9,semifamous_369_d_3_2.txt
UNKNOWN,0.0,semifamous_292_d_3_10.txt
Cristiano Ronaldo,0.9,semifamous_274_d_3_3.txt
Jackie Robinson,0.9,semifamous_379_d_3_10.txt
Thomas Jefferson,0.9,semifamous_146_d_3_1.txt
Cristiano Ronaldo,0.9,semifamous_9_d_3_4.txt
UNKNOWN,0.0,semifamous_309_d_3_9.txt
Cristiano Ronaldo,0.9,semifamous_63_d_3_3.txt
UNKNOWN,0.0,semifamous_164_d_3_8.txt
Lionel Messi,0.9,semifamous_395_d_3_3.txt
Mary Poppins,0.9,semifamous_190_d_3_5.txt
Wilbur Scoville,0.8,semifamous_86_d_3_5.txt
Sachin Tendulkar,0.9,semifamous_307_d_3_6.txt
UNKNOWN,0.0,semifamous_27_d_3_2.txt
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,semifamous_131_d_3_6.txt
Satchel Paige,0.9,semifamous_357_d_3_10.txt
Thomas Edison,0.8,semifamous_362_d_3_2.txt
Thomas Jefferson,0.9,semifamous_253_d_3_1.txt
John Deere,0.9,semifamous_318_d_3_2.txt
David Beckham,0.9,semifamous_101_d_3_8.txt
Mary Poppins,0.8,semifamous_370_d_3_5.txt
Jim Brown,0.8,semifamous_378_d_3_9.txt
Cristiano Ronaldo,0.8,semifamous_161_d_3_3.txt
Ian Botham,0.9,semifamous_56_d_3_6.txt
Sachin Tendulkar,0.9,semifamous_125_d_3_6.txt
UNKNOWN,0.0,semifamous_313_d_3_6.txt
Barack Obama,0.8,semifamous_184_d_3_1.txt
Virgil Van Dijk,0.9,semifamous_2_d_3_4.txt
Lionel Messi,0.9,semifamous_134_d_3_8.txt
Thurgood Marshall,0.9,semifamous_255_d_3_7.txt
Cristiano Ronaldo,0.9,semifamous_230_d_3_3.txt
Lionel Messi,0.9,semifamous_291_d_3_4.txt
Cristiano Ronaldo,0.9,semifamous_258_d_3_4.txt
Ian Botham,0.9,semifamous_381_d_3_6.txt
Ruth Bader Ginsburg,0.9,semifamous_196_d_3_7.txt
Sachin Tendulkar,0.8,semifamous_222_d_3_4.txt
Barack Obama,0.9,semifamous_241_d_3_7.txt
Mary Poppins,0.8,semifamous_398_d_3_5.txt
Babe Ruth,0.9,semifamous_49_d_3_10.txt
Lev Yashin,0.9,semifamous_176_d_3_8.txt
John Adams,0.9,semifamous_224_d_3_1.txt
Ruth Bader Ginsburg,0.9,semifamous_14_d_3_7.txt
Cristiano Ronaldo,0.9,semifamous_272_d_3_3.txt
Dr. Jonas Salk,0.9,semifamous_182_d_3_5.txt
UNKNOWN,0.0,semifamous_236_d_3_6.txt
Sachin Tendulkar,0.9,semifamous_152_d_3_6.txt
UNKNOWN,0.0,semifamous_375_d_3_9.txt
Lionel Messi,0.9,semifamous_77_d_3_4.txt
UNKNOWN,0.0,semifamous_11_d_3_8.txt
James Monroe,0.9,semifamous_376_d_3_1.txt
UNKNOWN,0.0,semifamous_249_d_3_9.txt
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,semifamous_83_d_3_9.txt
