personas_1,personas_2,personas_3,score_1,score_2,score_3,File
Tom Cruise,Brad Pitt,Leonardo DiCaprio,0.8,0.7,0.6,craig_596.txt
PERSON_FIRSTNAME_4 PERSON_LASTNAME_4,PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,PERSON_FIRSTNAME_5 PERSON_LASTNAME_2,0.9,0.8,0.7,craig_713.txt
John Lennon,Paul McCartney,The Beatles,0.8,0.7,0.9,jagger_286.txt
Alicia,Sophia,Isabella,0.8,0.6,0.7,adele_923.txt
Jennifer Lawrence,Bradley Cooper,Emma Stone,0.8,0.7,0.6,craig_328.txt
Elton John,Mick Jagger,Rod Stewart,0.9,0.8,0.7,jagger_422.txt
Adele,Simon Konecki,Angelo Adkins,0.9,0.8,0.7,adele_97.txt
John Smith,Emma Johnson,Michael Brown,0.8,0.6,0.7,craig_992.txt
John Smith,Emma Johnson,Michael Davis,0.8,0.6,0.7,craig_375.txt
Adele,London,singer,0.9,0.8,0.7,adele_423.txt
Taylor Swift,Adele,Beyonce,0.8,0.7,0.6,adele_112.txt
Taylor Swift,Adele,Beyonce,0.8,0.7,0.6,adele_366.txt
Adele,Taylor Swift,Beyonce,0.9,0.8,0.7,adele_271.txt
John Smith,Emily Johnson,Michael Brown,0.8,0.6,0.7,craig_978.txt
PERSON_FIRSTNAME_1 PERSON_LASTNAME_2,PERSON_FIRSTNAME_4 PERSON_LASTNAME_3,PERSON_FIRSTNAME_2 PERSON_LASTNAME_5,0.8,0.7,0.6,adele_748.txt
Taylor Swift,Adele,Beyonce,0.8,0.7,0.6,adele_209.txt
Taylor Swift,Adele,Ed Sheeran,0.9,0.8,0.7,adele_1067.txt
PERSON_FIRSTNAME_2 PERSON_LASTNAME_2,PERSON_FIRSTNAME_1 PERSON_LASTNAME_2,PERSON_FIRSTNAME_4 PERSON_LASTNAME_5,0.8,0.6,0.7,jagger_792.txt
Emma,Olivia,Sophia,0.8,0.7,0.6,adele_147.txt
Taylor Swift,Adele,Ed Sheeran,0.8,0.7,0.6,adele_503.txt
Tom Cruise,Brad Pitt,Leonardo DiCaprio,0.8,0.7,0.6,craig_788.txt
Adele,Taylor Swift,Beyonce,0.9,0.8,0.7,adele_851.txt
Adele,John Smith,Emma Watson,0.9,0.7,0.6,adele_178.txt
Adele,Beyoncé,Taylor Swift,0.8,0.7,0.6,adele_1002.txt
PERSON_FIRSTNAME,DATE_2,LOCATION,0.9,0.8,0.7,adele_996.txt
,,,,,,craig_253.txt
John Lennon,Paul McCartney,Mick Jagger,0.9,0.8,0.7,jagger_441.txt
Adele,Taylor Swift,Ed Sheeran,0.9,0.8,0.7,adele_57.txt
Adele,Beyonce,Taylor Swift,0.8,0.7,0.6,adele_798.txt
John Smith,Michael Johnson,David Brown,0.8,0.6,0.7,jagger_771.txt
John Doe,Jane Smith,Michael Johnson,0.8,0.6,0.7,jagger_141.txt
Taylor Swift,Adele,Beyonce,0.8,0.7,0.6,adele_673.txt
Adele,Sam Smith,Ed Sheeran,0.8,0.6,0.4,adele_682.txt
Adele,Taylor Swift,Beyonce,0.9,0.8,0.7,adele_297.txt
John Smith,Emma Johnson,Michael Brown,0.8,0.6,0.7,craig_413.txt
John Smith,Sarah Johnson,Michael Brown,0.8,0.6,0.7,jagger_496.txt
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,PRONOUN,,0.8,0.6,,jagger_984.txt
Jennifer Lopez,Shakira,Beyonce,0.8,0.7,0.6,jagger_917.txt
John Smith,Sarah Johnson,Michael Brown,0.8,0.6,0.7,jagger_897.txt
Elton John,Mick Jagger,Freddie Mercury,0.9,0.8,0.7,jagger_567.txt
David Bowie,Mick Jagger,Elton John,0.8,0.6,0.7,jagger_513.txt
Taylor Swift,Adele,Katy Perry,0.8,0.7,0.6,adele_216.txt
rock music enthusiast,concertgoer,music historian,0.8,0.6,0.7,jagger_557.txt
Tom Hanks,Brad Pitt,Leonardo DiCaprio,0.8,0.7,0.6,craig_58.txt
Tom Hanks,Robert De Niro,Brad Pitt,0.8,0.7,0.6,craig_1053.txt
John Smith,Emma Johnson,Michael Davis,0.8,0.6,0.7,craig_1049.txt
Mick Jagger,Paul McCartney,Elton John,0.8,0.6,0.7,jagger_296.txt
John Smith,Sarah Johnson,Michael Brown,0.8,0.6,0.7,jagger_458.txt
Brad Pitt,Leonardo DiCaprio,Tom Cruise,0.8,0.6,0.7,craig_912.txt
Madonna,Mick Jagger,David Bowie,0.8,0.6,0.7,jagger_262.txt
Adele,Taylor Swift,Beyonce,0.8,0.6,0.7,adele_287.txt
Taylor Swift,Adele,Beyonce,0.9,0.8,0.7,adele_1051.txt
Taylor Swift,Adele,Ed Sheeran,0.9,0.8,0.7,adele_242.txt
Tom Hanks,Brad Pitt,Leonardo DiCaprio,0.8,0.6,0.7,craig_40.txt
Daniel Craig,James Bond,action hero,0.8,0.7,0.9,craig_227.txt
Freddie Mercury,Brian May,Roger Taylor,0.9,0.8,0.7,jagger_146.txt
Daniel Radcliffe,Emma Watson,Rupert Grint,0.9,0.8,0.7,craig_612.txt
Adele,Taylor Swift,Beyoncé,0.8,0.6,0.7,adele_302.txt
Adele,Ed Sheeran,Taylor Swift,0.9,0.8,0.7,adele_357.txt
Taylor Swift,Adele,Beyonce,0.8,0.7,0.6,adele_836.txt
Adele,Ed Sheeran,Sam Smith,0.9,0.7,0.6,adele_323.txt
Adele,Taylor Swift,Ed Sheeran,0.9,0.7,0.6,adele_656.txt
Mick Jagger,The Rolling Stones,Keith Richards,0.8,0.7,0.6,jagger_11.txt
Elvis Presley,Mick Jagger,David Bowie,0.9,0.8,0.7,jagger_322.txt
Mick Jagger,Keith Richards,Charlie Watts,0.9,0.6,0.4,jagger_1021.txt
John Smith,Michael Johnson,David Miller,0.8,0.6,0.7,jagger_42.txt
Adele,Taylor Swift,Beyoncé,0.8,0.6,0.7,adele_468.txt
Elvis Presley,Mick Jagger,David Bowie,0.9,0.8,0.7,jagger_711.txt
Tom Cruise,Daniel Radcliffe,Robert Downey Jr.,0.9,0.8,0.7,craig_149.txt
Daniel Craig,James Bond,UK Celebrity,0.9,0.7,0.8,craig_32.txt
Elvis Presley,Mick Jagger,Bruce Springsteen,0.8,0.7,0.6,jagger_241.txt
Adele,Taylor Swift,Beyonce,0.9,0.8,0.7,adele_397.txt
Mick Jagger,Keith Richards,Ronnie Wood,0.9,0.8,0.7,jagger_701.txt
John Smith,Emma Johnson,Michael Brown,0.8,0.6,0.7,jagger_1.txt
Actor/Actress,Detective,Writer,0.8,0.6,0.7,craig_439.txt
John Lennon,Paul McCartney,George Harrison,0.9,0.8,0.7,jagger_392.txt
Taylor Swift,Adele,Beyonce,0.9,0.8,0.7,adele_442.txt
,,,,,,adele_197.txt
Taylor Swift,Adele,Ed Sheeran,0.9,0.8,0.7,adele_47.txt
Adele,Mariah Carey,Whitney Houston,0.9,0.8,0.7,adele_943.txt
Tom Cruise,Brad Pitt,Leonardo DiCaprio,0.8,0.7,0.6,craig_703.txt
John Smith,Michael Johnson,David Williams,0.8,0.6,0.7,jagger_376.txt
John Smith,Sarah Johnson,Michael Brown,0.8,0.6,0.7,jagger_96.txt
Tom Hanks,Brad Pitt,Leonardo DiCaprio,0.8,0.7,0.6,craig_823.txt
,,,,,,jagger_1026.txt
Tom Cruise,Brad Pitt,Leonardo DiCaprio,0.8,0.7,0.6,craig_263.txt
PERSON_FIRSTNAME_2,PERSON_FIRSTNAME_1,,0.8,0.6,,craig_928.txt
Emma Watson,Daniel Radcliffe,Leonardo DiCaprio,0.9,0.8,0.7,craig_538.txt
Tom Hanks,Emma Watson,Daniel Craig,0.8,0.6,0.7,craig_188.txt
Tom Cruise,Brad Pitt,Leonardo DiCaprio,0.8,0.7,0.6,craig_644.txt
John Smith,David Johnson,Michael Brown,0.8,0.6,0.7,jagger_116.txt
Adele,Taylor Swift,Ed Sheeran,0.9,0.8,0.7,adele_61.txt
