place_holder,characteristics_1,characteristics_2,characteristics_3,gender,min_age,max_age,nation,name,File
PERSON_FIRSTNAME_1,LOCATION_1,OCCUPATION_1,ORGANIZATION_1,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_2,craig_596.txt
PERSON_FIRSTNAME_4,actor,advocate,married,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_4 PERSON_LASTNAME_4,craig_713.txt
PERSON_FIRSTNAME_1,singer,songwriter,actor,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_2,jagger_286.txt
PERSON_FIRSTNAME_1,high status,amazing female singer,attractive,unknown,unknown,unknown,unknown,unknown,adele_923.txt
PERSON_FIRSTNAME_1,Broadway performer,Blonde,Accent,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,craig_328.txt
PERSON_FIRSTNAME_1,singer,actor,founder of ORGANIZATION_1,unknown,unknown,unknown,unknown,Elton John,jagger_422.txt
PERSON_FIRSTNAME_3,successful,singer/songwriter,awards,unknown,30,40,unknown,PERSON_FIRSTNAME_3 PERSON_LASTNAME_3,adele_97.txt
PERSON_FIRSTNAME,ORGANIZATION_1,LOCATION,DATE,unknown,30,40,unknown,PERSON_FIRSTNAME ORGANIZATION_1 PERSON_LASTNAME ORGANIZATION_1,craig_992.txt
PERSON_FIRSTNAME,ORGANIZATION_2,DATE,LOCATION,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME,craig_375.txt
PERSON_FIRSTNAME_1,singer,pop and power ballads genre,struggled with postpartum depression,unknown,unknown,unknown,unknown,Adele,adele_423.txt
PERSON_FIRSTNAME_1,singer,commercial success,weight loss,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1,adele_112.txt
PERSON_FIRSTNAME_1,singer,songwriter,awards,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1,adele_366.txt
PERSON_FIRSTNAME_2,LOCATION_1,OTHER_IDENTIFYING_ATTRIBUTE_3,OTHER_IDENTIFYING_ATTRIBUTE_2,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2,adele_271.txt
PRONOUN,dyspraxia,rap music,atheism,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1,craig_978.txt
PERSON_FIRSTNAME_1,singer,songwriter,award winner,unknown,unknown,unknown,unknown,MBE,adele_748.txt
PERSON_FIRSTNAME_1,LOCATION_2,ORGANIZATION_1,PERSON_LASTNAME_1,unknown,unknown,unknown,unknown,Taylor Swift,adele_209.txt
PERSON_FIRSTNAME_2,singer,songwriter,icon,unknown,unknown,unknown,unknown,Taylor Swift,adele_1067.txt
PERSON_FIRSTNAME_2,singer,rock band member,married,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_2,jagger_792.txt
PERSON_FIRSTNAME_1,fiery red hair,freckles,works as a scientist,unknown,30,40,unknown,Alice,adele_147.txt
PERSON_FIRSTNAME_2,singer,ginger hair,recent weight loss,unknown,30,40,unknown,PERSON_FIRSTNAME_2,adele_503.txt
PERSON_FIRSTNAME_3,LOCATION_2,DATE_3,OTHER_IDENTIFYING_ATTRIBUTE_4,unknown,30,40,unknown,Tom Cruise,craig_788.txt
PERSON_FIRSTNAME_1,blonde/brown hair,won NUMERIC_5 Grammys,Married for NUMERIC_4 years,female,NUMERIC_7,NUMERIC_8,unknown,Adele,adele_851.txt
,,,,,,,,,adele_178.txt
PERSON_FIRSTNAME_1,pop-soul artist,best-selling female album artist,richest musician,unknown,25,35,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,adele_1002.txt
PERSON_FIRSTNAME,singer,Grammy winner,divorced,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME,adele_996.txt
,,,,,,,,,craig_253.txt
,,,,,,,,,jagger_441.txt
PERSON_FIRSTNAME_1,songwriter,singer,married,unknown,unknown,unknown,unknown,Adele,adele_57.txt
PERSON_FIRSTNAME_1,singer,Grammy awards winner,MBE recipient,unknown,unknown,unknown,unknown,Adele,adele_798.txt
PERSON_FIRSTNAME_1,singer,songwriter,actor,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,jagger_771.txt
PERSON_FIRSTNAME_1,singer,songwriter,actor,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,jagger_141.txt
PERSON_FIRSTNAME_3,singer,divorced,successful,unknown,,,,,adele_673.txt
PERSON_FIRSTNAME_1,singer songwriter,divorced with a child,graduated from ORGANIZATION_1,unknown,unknown,unknown,unknown,Adele,adele_682.txt
PERSON_FIRSTNAME_1,female singer,international success,best selling album,female,unknown,unknown,unknown,unknown,adele_297.txt
,,,,,,,,,craig_413.txt
PERSON_FIRSTNAME_1,NUMERIC_1 year old,LOCATION_1 singer-songwriter,NUMERIC_9 films,unknown,40,50,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,jagger_496.txt
PERSON_FIRSTNAME_1,lead singer,songwriting,rock and roll hall of fame,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,jagger_984.txt
PRONOUN,singer,fhilanthropist,songwriter,unknown,unknown,unknown,unknown,Unknown,jagger_917.txt
PERSON_FIRSTNAME_1,sings a song with PRONOUN,has OTHER_IDENTIFYING_ATTRIBUTE_1 in PRONOUN name,member of the ORGANIZATION_1 or a similar band,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1,jagger_897.txt
PERSON_FIRSTNAME_1,ORGANIZATION_1,PRONOUN,DATE_1,unknown,unknown,unknown,unknown,Elvis Presley,jagger_567.txt
PERSON_FIRSTNAME_2,singer,song writer,actor,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,jagger_513.txt
PERSON_FIRSTNAME_1,musician,famous,married,unknown,unknown,unknown,unknown,Taylor Swift,adele_216.txt
PRONOUN,PRONOUN,NUMERIC_4%,OTHER_IDENTIFYING_ATTRIBUTE_1,unknown,unknown,unknown,unknown,David Bowie,jagger_557.txt
PERSON_FIRSTNAME_3,OTHER_IDENTIFYING_ATTRIBUTE_1,OTHER_IDENTIFYING_ATTRIBUTE_2,OTHER_IDENTIFYING_ATTRIBUTE_3,unknown,unknown,unknown,unknown,Tom Hanks,craig_58.txt
PERSON_FIRSTNAME_1,actor,award-winning,international,unknown,40,50,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_2,craig_1053.txt
PRONOUN,LOCATION_1,OTHER_IDENTIFYING_ATTRIBUTE_3,DATE_4,unknown,unknown,unknown,unknown,PRONOUN,craig_1049.txt
PERSON_FIRSTNAME_1,musician,front man,knighted,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,jagger_296.txt
PERSON_FIRSTNAME_2,musician,actor,knighted,unknown,unknown,unknown,unknown,John Doe,jagger_458.txt
PERSON_FIRSTNAME_2,easy on the eyes,attractive,international fame,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2,craig_912.txt
PERSON_FIRSTNAME_1,large mouth,long hair,electric on-stage presence,unknown,unknown,unknown,unknown,Elvis Presley,jagger_262.txt
PERSON_FIRSTNAME_3,singer,songwriter,divorced,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,adele_287.txt
PERSON_FIRSTNAME_1,singer,song writer,blonde,unknown,unknown,unknown,unknown,Taylor Swift,adele_1051.txt
PERSON_FIRSTNAME_2,singer,pop music,awards,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2,adele_242.txt
PERSON_FIRSTNAME_1,eponymous,grittier side,nuanced take,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_2,craig_40.txt
PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,actor,well known,plays fantastically,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_2,craig_227.txt
PERSON_FIRSTNAME_1,singer,songwriter,actor,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,jagger_146.txt
PERSON_FIRSTNAME_2,Actor,Art,Bafta award,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_3,craig_612.txt
PERSON_FIRSTNAME_1,award winning,singer and songwriter,international fame,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,adele_302.txt
PERSON_FIRSTNAME_4,british singer/songwriter,best selling artist,Grammy award winner,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_4,adele_357.txt
PERSON_LASTNAME_1,singer,songwriter,richest musician,unknown,unknown,unknown,unknown,Ed Sheeran,adele_836.txt
PERSON_FIRSTNAME_1,singer,supporter of ORGANIZATION_1,performed at high profile events,unknown,unknown,unknown,UK,Adele,adele_323.txt
PERSON_FIRSTNAME_1,singer,song writer,best-selling music artist,unknown,unknown,unknown,unknown,Adele,adele_656.txt
PERSON_FIRSTNAME_1,singer,songwriter,actor,unknown,unknown,unknown,unknown,John Lennon,jagger_11.txt
PERSON_FIRSTNAME_1,rock and roll singer,distinctive looking,knighthood,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_3 PERSON_LASTNAME_1,jagger_322.txt
PERSON_FIRSTNAME_1,singer,songwriter,actor,unknown,unknown,unknown,unknown,Mick Jagger,jagger_1021.txt
PERSON_FIRSTNAME_1,lead singer,old,fit,unknown,unknown,unknown,unknown,John Doe,jagger_42.txt
PERSON_FIRSTNAME_2,female,single,dramatic weight loss,female,30,40,unknown,Taylor Swift,adele_468.txt
PERSON_FIRSTNAME_1,singer,songwriter,lead singer,unknown,unknown,unknown,unknown,John Smith,jagger_711.txt
PERSON_FIRSTNAME_1,eponymous film series,drama serial,mystery comedy,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,craig_149.txt
PERSON_FIRSTNAME_1,girl with the OTHER_IDENTIFYING_ATTRIBUTE_3 and OTHER_IDENTIFYING_ATTRIBUTE_2 bond films,list celebrity and a household name in the uk,made an honorary commander in the LOCATION_2 navy,unknown,unknown,unknown,unknown,Daniel Craig,craig_32.txt
PERSON_FIRSTNAME_2,singer,song writer,lead singer,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,jagger_241.txt
PERSON_FIRSTNAME_1,singer,best selling artist,Grammy winner,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1,adele_397.txt
PERSON_FIRSTNAME_1,singer,songwriter,front man,unknown,unknown,unknown,unknown,Mick Jagger,jagger_701.txt
PERSON_FIRSTNAME_1,lead singer,well-known,multiple awards,unknown,unknown,unknown,unknown,John Smith,jagger_1.txt
,,,,,,,,,craig_439.txt
PERSON_FIRSTNAME_1,singer-song writer,lead singer,founding member,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1,jagger_392.txt
PERSON_FIRSTNAME_1,singer/songwriter,world's best selling music artist,officiated and planned marriages,unknown,unknown,unknown,unknown,Taylor Swift,adele_442.txt
PERSON_LASTNAME_1,powerful voice,impressive ballads,stage fright,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,adele_197.txt
PERSON_FIRSTNAME_1,singer,songwriter,philanthropist,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,adele_47.txt
PERSON_FIRSTNAME_3,singer songwriter,best selling music artist,powerful voice,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_3,adele_943.txt
,,,,,,,,,craig_703.txt
,,,,,,,,,jagger_376.txt
PERSON_FIRSTNAME_1,lead singer,world famous band,distinctive dance style,unknown,unknown,unknown,unknown,John Smith,jagger_96.txt
PERSON_FIRSTNAME_3,LOCATION_1,LOCATION_2,DATE_2,unknown,unknown,unknown,unknown,Tom Hanks,craig_823.txt
PERSON_FIRSTNAME_1,lead vocalist,songwriter,knighted,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1,jagger_1026.txt
PERSON_FIRSTNAME_1,blond hair,blue eyes,round face,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,craig_263.txt
