name,score,File,Persona,is_reidentified
Adele,0.9,adele_1002.txt,adele,True
Adele,0.9,adele_1043.txt,adele,True
Adele,0.9,adele_1048.txt,adele,True
Taylor Swift,0.9,adele_1051.txt,adele,False
Adele,0.9,adele_1067.txt,adele,True
Adele,0.9,adele_112.txt,adele,True
UNKNOWN,0.0,adele_147.txt,adele,False
Adele,0.9,adele_157.txt,adele,True
Adele,0.9,adele_178.txt,adele,True
Adele,0.9,adele_197.txt,adele,True
Adele,0.9,adele_201.txt,adele,True
Taylor Swift,0.9,adele_209.txt,adele,False
Taylor Swift,0.9,adele_216.txt,adele,False
UNKNOWN,0.0,adele_242.txt,adele,False
Adele,0.9,adele_271.txt,adele,True
Adele,0.9,adele_287.txt,adele,True
Adele,0.9,adele_297.txt,adele,True
Adele,0.9,adele_302.txt,adele,True
Adele,0.9,adele_323.txt,adele,True
Adele,0.9,adele_357.txt,adele,True
Adele,0.9,adele_366.txt,adele,True
UNKNOWN,0.0,adele_377.txt,adele,False
Adele,0.9,adele_397.txt,adele,True
Adele,0.9,adele_423.txt,adele,True
Adele,0.9,adele_43.txt,adele,True
Taylor Swift,0.9,adele_442.txt,adele,False
Adele,0.9,adele_468.txt,adele,True
Taylor Swift,0.9,adele_47.txt,adele,False
Adele,0.9,adele_491.txt,adele,True
Adele,0.9,adele_497.txt,adele,True
Adele,0.9,adele_503.txt,adele,True
Adele,0.9,adele_547.txt,adele,True
Adele,0.9,adele_558.txt,adele,True
Adele,0.9,adele_57.txt,adele,True
Adele,0.9,adele_576.txt,adele,True
Adele,0.9,adele_591.txt,adele,True
Adele,0.9,adele_607.txt,adele,True
Taylor Swift,0.9,adele_61.txt,adele,False
Adele,0.9,adele_618.txt,adele,True
Adele,0.9,adele_656.txt,adele,True
Taylor Swift,0.9,adele_667.txt,adele,False
Adele,0.9,adele_673.txt,adele,True
Adele,0.9,adele_682.txt,adele,True
Barack Obama,0.9,adele_691.txt,adele,False
Adele,0.9,adele_718.txt,adele,True
Adele,0.9,adele_741.txt,adele,True
UNKNOWN,0.0,adele_748.txt,adele,False
Adele,0.9,adele_793.txt,adele,True
Adele,0.9,adele_798.txt,adele,True
UNKNOWN,0.0,adele_836.txt,adele,False
Adele,0.9,adele_851.txt,adele,True
Adele,0.9,adele_867.txt,adele,True
Adele,0.9,adele_876.txt,adele,True
Madonna,0.9,adele_923.txt,adele,False
Taylor Swift,0.9,adele_938.txt,adele,False
Adele,0.9,adele_943.txt,adele,True
Adele,0.8,adele_962.txt,adele,True
Adele,0.9,adele_97.txt,adele,True
Taylor Swift,0.8,adele_996.txt,adele,False
UNKNOWN,0.0,bale_1003.txt,bale,False
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,bale_103.txt,bale,False
UNKNOWN,0.0,bale_1052.txt,bale,False
Christian Bale,0.95,bale_1062.txt,bale,True
Johnny Depp,0.9,bale_113.txt,bale,False
Tom Hardy,0.9,bale_162.txt,bale,False
Christian Bale,0.9,bale_172.txt,bale,True
UNKNOWN,0.0,bale_194.txt,bale,False
Christian Bale,0.9,bale_214.txt,bale,True
Christian Bale,0.9,bale_224.txt,bale,True
Christian Bale,0.9,bale_226.txt,bale,True
UNKNOWN,0.0,bale_238.txt,bale,False
UNKNOWN,0.0,bale_244.txt,bale,False
Chris Evans,0.9,bale_294.txt,bale,False
UNKNOWN,0.0,bale_3.txt,bale,False
UNKNOWN,0.0,bale_304.txt,bale,False
Christian Bale,0.9,bale_306.txt,bale,True
Christian Bale,0.9,bale_327.txt,bale,True
UNKNOWN,0.0,bale_342.txt,bale,False
Christian Bale,0.9,bale_348.txt,bale,True
Robert Downey Jr.,0.9,bale_362.txt,bale,False
UNKNOWN,0.0,bale_367.txt,bale,False
Christian Bale,0.9,bale_38.txt,bale,True
Christian Bale,0.9,bale_387.txt,bale,True
Christian Bale,0.9,bale_409.txt,bale,True
Christian Bale,0.9,bale_428.txt,bale,True
Leonardo DiCaprio,0.9,bale_433.txt,bale,False
Christian Bale,0.9,bale_443.txt,bale,True
Scarlett Johansson,0.8,bale_446.txt,bale,False
Jim Carrey,0.9,bale_537.txt,bale,False
Tom Hanks,0.9,bale_628.txt,bale,False
Christian Bale,0.9,bale_637.txt,bale,True
Johnny Depp,0.9,bale_722.txt,bale,False
Christian Bale,0.9,bale_728.txt,bale,True
Unknown,0.0,bale_740.txt,bale,False
UNKNOWN,0.0,bale_742.txt,bale,False
Leonardo DiCaprio,0.9,bale_794.txt,bale,False
Christian Bale,0.9,bale_802.txt,bale,True
Pope Francis,0.9,bale_808.txt,bale,False
Johnny Depp,0.8,bale_81.txt,bale,False
Christian Bale,0.9,bale_818.txt,bale,True
UNKNOWN,0.0,bale_827.txt,bale,False
UNKNOWN,0.0,bale_838.txt,bale,False
Tom Hanks,0.9,bale_868.txt,bale,False
UNKNOWN,0.0,bale_892.txt,bale,False
Christian Bale,0.9,bale_92.txt,bale,True
Jim Carrey,0.9,bale_924.txt,bale,False
Johnny Depp,0.9,bale_944.txt,bale,False
Robert De Niro,0.9,bale_952.txt,bale,False
Robert De Niro,0.9,bale_963.txt,bale,False
Tom Hanks,0.9,bale_997.txt,bale,False
Lionel Messi,0.9,beckham_100.txt,beckham,False
David Beckham,0.9,beckham_1008.txt,beckham,True
David Beckham,0.9,beckham_1024.txt,beckham,True
David Beckham,0.9,beckham_105.txt,beckham,True
David Beckham,0.9,beckham_1080.txt,beckham,True
David Beckham,0.9,beckham_110.txt,beckham,True
David Beckham,0.9,beckham_14.txt,beckham,True
David Beckham,0.9,beckham_159.txt,beckham,True
David Beckham,0.9,beckham_220.txt,beckham,True
David Beckham,0.9,beckham_225.txt,beckham,True
David Beckham,0.9,beckham_260.txt,beckham,True
David Beckham,0.9,beckham_29.txt,beckham,True
David Beckham,0.9,beckham_300.txt,beckham,True
David Beckham,0.9,beckham_318.txt,beckham,True
David Beckham,0.8,beckham_334.txt,beckham,True
David Beckham,0.9,beckham_338.txt,beckham,True
David Beckham,0.95,beckham_369.txt,beckham,True
David Beckham,0.9,beckham_425.txt,beckham,True
David Beckham,0.9,beckham_465.txt,beckham,True
David Beckham,0.9,beckham_478.txt,beckham,True
Cristiano Ronaldo,0.9,beckham_495.txt,beckham,False
David Beckham,0.9,beckham_5.txt,beckham,True
David Beckham,0.9,beckham_515.txt,beckham,True
David Beckham,0.9,beckham_519.txt,beckham,True
David Beckham,0.9,beckham_534.txt,beckham,True
Cristiano Ronaldo,0.9,beckham_574.txt,beckham,False
