name,score,File
Kate Middleton,0.9,middleton_679.txt
Michael Schumacher,0.9,hamilton_704.txt
Meryl Streep,0.9,dench_957.txt
Daniel Craig,0.9,craig_908.txt
Kate Middleton,0.9,middleton_60.txt
UNKNOWN,0.0,jagger_561.txt
UNKNOWN,0.0,campbell_307.txt
Gisele Bündchen,0.9,moss_650.txt
Lewis Hamilton,0.9,hamilton_394.txt
Sam Smith,0.9,smith_611.txt
Jerry Seinfeld,0.8,gervais_975.txt
Johnny Depp,0.9,bale_944.txt
Kate Moss,0.9,moss_665.txt
Hugh Grant,0.9,grant_877.txt
Taylor Swift,0.9,adele_667.txt
Hugh Grant,0.9,grant_21.txt
Elton John,0.9,jagger_422.txt
Emma Watson,0.9,delevigne_570.txt
Mick Jagger,0.9,jagger_402.txt
David Beckham,0.9,beckham_110.txt
UNKNOWN,0.0,bale_827.txt
Taylor Swift,0.9,adele_442.txt
Elton John,0.9,jagger_277.txt
Cara Delevingne,0.9,delevigne_59.txt
Adele,0.9,adele_558.txt
Pope Francis,0.9,bale_808.txt
Emma Watson,0.9,watson_746.txt
UNKNOWN,0.0,bale_838.txt
Adele,0.9,adele_178.txt
Tom Cruise,0.9,radcliffe_712.txt
Ed Sheeran,0.9,sheeran_946.txt
UNKNOWN,0.0,bale_3.txt
Naomi Campbell,0.9,campbell_477.txt
Kate Moss,0.9,moss_170.txt
Daniel Radcliffe,0.9,craig_612.txt
Madonna,0.9,adele_923.txt
Kate Moss,0.9,moss_970.txt
UNKNOWN,0.0,craig_403.txt
UNKNOWN,0.0,dench_829.txt
UNKNOWN,0.0,adele_748.txt
David Beckham,0.9,beckham_425.txt
Christian Bale,0.9,bale_428.txt
Taylor Swift,0.8,adele_996.txt
Kate Moss,0.9,moss_960.txt
Elton John,0.9,john_642.txt
UNKNOWN,0.0,bale_342.txt
Ricky Gervais,0.9,gervais_900.txt
Emma Watson,0.9,watson_396.txt
J.K. Rowling,0.9,rowling_120.txt
UNKNOWN,0.0,grant_543.txt
Christian Bale,0.95,bale_1062.txt
Kate Middleton,0.8,middleton_175.txt
Emma Watson,0.9,watson_916.txt
Naomi Campbell,0.9,campbell_1018.txt
Sam Smith,0.9,smith_22.txt
David Beckham,0.9,beckham_534.txt
Ed Sheeran,0.9,sheeran_186.txt
Lewis Hamilton,0.9,hamilton_349.txt
UNKNOWN,0.0,radcliffe_847.txt
David Beckham,0.9,beckham_300.txt
David Beckham,0.9,beckham_105.txt
Ricky Gervais,0.9,gervais_200.txt
Gisele Bündchen,0.9,campbell_163.txt
Ed Sheeran,0.9,sheeran_586.txt
Elton John,0.9,john_797.txt
David Beckham,0.9,beckham_1080.txt
Kate Middleton,0.9,middleton_839.txt
Kate Middleton,0.9,middleton_899.txt
Adele,0.9,adele_1043.txt
UNKNOWN,0.0,cumberbatch_861.txt
Christian Bale,0.9,bale_728.txt
Elton John,0.9,john_987.txt
Adele,0.9,adele_876.txt
UNKNOWN,0.0,cumberbatch_501.txt
Daniel Craig,0.9,craig_227.txt
Dua Lipa,0.9,smith_1027.txt
David Beckham,0.9,beckham_763.txt
UNKNOWN,0.0,campbell_353.txt
Daniel Craig,0.95,craig_378.txt
UNKNOWN,0.0,watson_756.txt
Elton John,0.9,john_1011.txt
UNKNOWN,0.0,radcliffe_282.txt
UNKNOWN,0.0,bale_367.txt
J.K. Rowling,0.9,rowling_308.txt
Lady Gaga,0.9,rowling_24.txt
J.K. Rowling,0.9,rowling_609.txt
UNKNOWN,0.0,jagger_146.txt
UNKNOWN,0.0,dench_354.txt
J.K. Rowling,0.9,rowling_854.txt
Daniel Radcliffe,0.8,radcliffe_552.txt
Kate Middleton,0.9,middleton_384.txt
Tom Hanks,0.8,cumberbatch_986.txt
Keira Knightley,0.9,delevigne_150.txt
Kate Middleton,0.9,middleton_710.txt
UNKNOWN,0.0,cumberbatch_326.txt
Daniel Radcliffe,0.9,radcliffe_463.txt
Christian Bale,0.9,bale_387.txt
Taylor Swift,0.9,adele_47.txt
UNKNOWN,0.0,bale_194.txt
Tom Hanks,0.9,grant_437.txt
Tom Cruise,0.9,radcliffe_653.txt
UNKNOWN,0.0,dench_48.txt
Kate Middleton,0.9,middleton_379.txt
UNKNOWN,0.0,gervais_405.txt
UNKNOWN,0.0,delevigne_940.txt
Elton John,0.9,john_128.txt
Robert De Niro,0.9,bale_952.txt
Unknown,0.0,bale_740.txt
Hugh Grant,0.9,grant_79.txt
Daniel Radcliffe,0.8,watson_937.txt
Hugh Grant,0.9,grant_107.txt
Robert Downey Jr.,0.9,radcliffe_358.txt
Hugh Jackman,0.9,craig_476.txt
Daniel Radcliffe,0.9,radcliffe_408.txt
UNKNOWN,0.0,delevigne_659.txt
Mick Jagger,0.9,jagger_262.txt
Benedict Cumberbatch,0.9,cumberbatch_221.txt
Kate Moss,0.9,moss_725.txt
David Beckham,0.9,beckham_1008.txt
Ed Sheeran,0.9,sheeran_626.txt
UNKNOWN,0.0,grant_638.txt
Lewis Hamilton,0.9,hamilton_934.txt
Lady Gaga,0.9,smith_313.txt
Emma Watson,0.8,watson_627.txt
David Beckham,0.9,beckham_834.txt
Cate Blanchett,0.95,dench_790.txt
UNKNOWN,0.0,jagger_984.txt
Gisele Bündchen,0.9,campbell_62.txt
Daniel Radcliffe,0.9,radcliffe_142.txt
Ricky Gervais,0.9,gervais_80.txt
Paul McCartney,0.9,jagger_258.txt
Prince William,0.8,middleton_539.txt
