name,score,File,Persona,is_reidentified
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,adele_1002.txt,adele,False
PERSON_FIRSTNAME_1,0.8,adele_1043.txt,adele,False
Taylor Swift,0.9,adele_1048.txt,adele,False
PERSON_FIRSTNAME_1,0.8,adele_1051.txt,adele,False
Taylor Swift,0.9,adele_1067.txt,adele,False
Taylor Swift,0.9,adele_112.txt,adele,False
PERSON_FIRSTNAME_1,0.8,adele_147.txt,adele,False
Taylor Swift,0.9,adele_157.txt,adele,False
Adele,0.9,adele_178.txt,adele,True
PERSON_LASTNAME_1,0.8,adele_197.txt,adele,False
Adele,0.9,adele_201.txt,adele,True
PERSON_FIRSTNAME_1,0.95,adele_209.txt,adele,False
Taylor Swift,0.9,adele_216.txt,adele,False
Taylor Swift,0.8,adele_242.txt,adele,False
PERSON_FIRSTNAME_2,0.9,adele_271.txt,adele,False
Taylor Swift,0.9,adele_287.txt,adele,False
PERSON_FIRSTNAME_1,0.85,adele_297.txt,adele,False
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,adele_302.txt,adele,False
Adele,0.9,adele_323.txt,adele,True
PERSON_FIRSTNAME_4,0.8,adele_357.txt,adele,False
Adele,0.9,adele_366.txt,adele,True
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,adele_377.txt,adele,False
PERSON_FIRSTNAME_1,0.8,adele_397.txt,adele,False
Adele,0.9,adele_423.txt,adele,True
Adele,0.9,adele_43.txt,adele,True
Taylor Swift,0.9,adele_442.txt,adele,False
PERSON_FIRSTNAME_2,0.9,adele_468.txt,adele,False
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,adele_47.txt,adele,False
PERSON_FIRSTNAME_1,0.9,adele_491.txt,adele,False
PERSON_FIRSTNAME_1,0.9,adele_497.txt,adele,False
PERSON_FIRSTNAME_2,0.8,adele_503.txt,adele,False
PERSON_LASTNAME_1,0.9,adele_547.txt,adele,False
PERSON_FIRSTNAME_1,0.95,adele_558.txt,adele,False
Adele,0.9,adele_57.txt,adele,True
Taylor Swift,0.9,adele_576.txt,adele,False
Adele,0.9,adele_591.txt,adele,True
Taylor Swift,0.9,adele_607.txt,adele,False
PERSON_FIRSTNAME_1,0.8,adele_61.txt,adele,False
Adele,0.9,adele_618.txt,adele,True
Taylor Swift,0.9,adele_656.txt,adele,False
PERSON_FIRSTNAME_1,0.8,adele_667.txt,adele,False
Adele,0.9,adele_673.txt,adele,True
Adele,0.9,adele_682.txt,adele,True
PERSON_LASTNAME_1,0.8,adele_691.txt,adele,False
Adele,0.9,adele_718.txt,adele,True
PERSON_LASTNAME_1,0.8,adele_741.txt,adele,False
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,adele_748.txt,adele,False
PERSON_FIRSTNAME_3 PERSON_LASTNAME_2,0.8,adele_793.txt,adele,False
PERSON_FIRSTNAME_1,0.95,adele_798.txt,adele,False
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,adele_836.txt,adele,False
Adele,0.9,adele_851.txt,adele,True
Adele,0.9,adele_867.txt,adele,True
Adele,0.9,adele_876.txt,adele,True
PERSON_FIRSTNAME_1,0.9,adele_923.txt,adele,False
PERSON_FIRSTNAME_3,0.8,adele_938.txt,adele,False
