Name,Score,Characteristic_1,Characteristic_2,Characteristic_3,Study,File
PERSON_FIRSTNAME_1,0.8,incredible voice,genre between soul and pop,earned Grammy and Brit Awards,2.0,adele_43.txt
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,singer,songwriter,supporter of ORGANIZATION_1,2.0,adele_47.txt
Adele,0.8,singer,songwriter,famous worldwide,2.0,adele_57.txt
PERSON_FIRSTNAME_1,0.6,singer songwriter,attended famous arts school,record breaking albums,2.0,adele_61.txt
Taylor Swift,0.8,successful singer/songwriter,won numerous awards,recently underwent weight loss transformation,2.0,adele_97.txt
PERSON_FIRSTNAME_1,0.8,singer,from LOCATION_1,had a lot of commercial success,2.0,adele_112.txt
PERSON_FIRSTNAME_1,0.8,fiery red hair,freckles,works as a scientist,2.0,adele_147.txt
PERSON_FIRSTNAME_1,0.8,singer,songwriter,married,2.0,adele_157.txt
Adele,0.8,English singer-songwriter,Sold over 6 million records,Known for powerful voice and impressive ballads,2.0,adele_178.txt
PERSON_LASTNAME_1,0.8,singer,powerful voice,stage fright,2.0,adele_197.txt
Adele,0.8,British,Singer,Supportive of LGBT community,2.0,adele_201.txt
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,singer,song writer,award-winning,2.0,adele_209.txt
Taylor Swift,0.8,musician,famous,heartbreak,2.0,adele_216.txt
PERSON_FIRSTNAME_2,0.8,singer,famous since around DATE_3,pop music,2.0,adele_242.txt
PERSON_FIRSTNAME_2,0.8,singer,married,Grammy awards,2.0,adele_271.txt
PERSON_FIRSTNAME_3 PERSON_LASTNAME_1,0.8,singer,divorced,vocal chord damage,2.0,adele_287.txt
Adele,0.8,female singer,best selling album,break up with former partner,2.0,adele_297.txt
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,award winning singer and songwriter,graduated from ORGANIZATION_1 school,has a naming convention for studio albums,2.0,adele_302.txt
Adele,0.8,singer,white with brown hair,tall height,2.0,adele_323.txt
PERSON_FIRSTNAME_4,0.7,british singer/songwriter,best selling artist,Grammy award winner,2.0,adele_357.txt
PERSON_FIRSTNAME_1,0.8,singer,songwriter,has won multiple awards,2.0,adele_366.txt
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,singer,MBE,top selling music artist,2.0,adele_377.txt
PERSON_FIRSTNAME_1,0.8,singer,married,Brit Award winner,2.0,adele_397.txt
Adele,0.9,singer,pop genre,rich,2.0,adele_423.txt
Taylor Swift,0.8,singer/songwriter,world's best selling music artist,released theme song for movie,2.0,adele_442.txt
PERSON_FIRSTNAME_2,0.8,female,single,dramatic weight loss,2.0,adele_468.txt
PERSON_FIRSTNAME_1,0.8,famous singer songwriter,born in LOCATION_1,sold over NUMERIC_7 million records,2.0,adele_491.txt
PERSON_FIRSTNAME_1,0.8,talented,awarded an OTHER_IDENTIFYING_ATTRIBUTE_2,criticised and praised over PRONOUN body image,2.0,adele_497.txt
PERSON_FIRSTNAME_2,0.8,singer,ginger hair,recent weight loss,2.0,adele_503.txt
PERSON_LASTNAME_1,0.9,beautiful,world's best selling artist,lost over NUMERIC_6 stone,2.0,adele_547.txt
PERSON_FIRSTNAME_1,0.8,sings about broken past relationships,wrote a song for a bond film,lost a lot of weight and looks different,2.0,adele_558.txt
John,0.8,singer,songwriter,charitable,2.0,adele_576.txt
