name,score,File,accuracy
Kate Middleton,0.9,middleton_679.txt,True
Lewis Hamilton,0.9,hamilton_704.txt,True
Meryl Streep,0.9,dench_957.txt,False
Daniel Craig,0.9,craig_908.txt,True
Kate Middleton,0.9,middleton_60.txt,True
Elvis Presley,0.9,jagger_561.txt,False
UNKNOWN,0.0,campbell_307.txt,False
Gisele Bündchen,0.9,moss_650.txt,False
Lewis Hamilton,0.9,hamilton_394.txt,True
Sam Smith,0.9,smith_611.txt,True
Jerry Seinfeld,0.9,gervais_975.txt,False
Johnny Depp,0.8,bale_944.txt,False
Kate Moss,0.9,moss_665.txt,True
Hugh Grant,0.9,grant_877.txt,True
Adele,0.9,adele_667.txt,True
Hugh Grant,0.9,grant_21.txt,True
Mick Jagger,0.9,jagger_422.txt,True
UNKNOWN,0.0,delevigne_570.txt,False
Mick Jagger,0.9,jagger_402.txt,True
David Beckham,0.9,beckham_110.txt,True
Daniel Radcliffe,0.9,bale_827.txt,False
Taylor Swift,0.95,adele_442.txt,False
Elton John,0.9,jagger_277.txt,False
Cara Delevingne,0.9,delevigne_59.txt,False
Adele,0.9,adele_558.txt,True
UNKNOWN,0.0,bale_808.txt,False
Emma Watson,0.9,watson_746.txt,True
Angelina Jolie,0.9,bale_838.txt,False
Adele,0.9,adele_178.txt,True
Daniel Radcliffe,0.8,radcliffe_712.txt,True
Ed Sheeran,0.9,sheeran_946.txt,True
UNKNOWN,0.0,bale_3.txt,False
Naomi Campbell,0.95,campbell_477.txt,True
Kate Moss,0.9,moss_170.txt,True
Daniel Radcliffe,0.9,craig_612.txt,False
Madonna,0.9,adele_923.txt,False
Kate Moss,0.95,moss_970.txt,True
UNKNOWN,0.0,craig_403.txt,False
Emma Watson,0.9,dench_829.txt,False
Adele,0.9,adele_748.txt,True
David Beckham,0.9,beckham_425.txt,True
Christian Bale,0.9,bale_428.txt,True
Taylor Swift,0.8,adele_996.txt,False
UNKNOWN,0.0,moss_960.txt,False
Elton John,0.9,john_642.txt,True
UNKNOWN,0.0,bale_342.txt,False
Ricky Gervais,0.9,gervais_900.txt,True
Emma Watson,0.9,watson_396.txt,True
J.K. Rowling,0.9,rowling_120.txt,True
Robert Downey Jr.,0.9,grant_543.txt,False
Christian Bale,0.9,bale_1062.txt,True
Kate Middleton,0.9,middleton_175.txt,True
Jennifer Lawrence,0.8,watson_916.txt,False
Tyra Banks,0.9,campbell_1018.txt,False
Elton John,0.9,smith_22.txt,False
David Beckham,0.9,beckham_534.txt,True
Ed Sheeran,0.9,sheeran_186.txt,True
Lewis Hamilton,0.9,hamilton_349.txt,True
UNKNOWN,0.0,radcliffe_847.txt,False
David Beckham,0.9,beckham_300.txt,True
David Beckham,0.9,beckham_105.txt,True
Ricky Gervais,0.9,gervais_200.txt,True
Gisele Bündchen,0.9,campbell_163.txt,False
Ed Sheeran,0.9,sheeran_586.txt,True
Elton John,0.9,john_797.txt,True
David Beckham,0.9,beckham_1080.txt,True
Kate Middleton,0.9,middleton_839.txt,True
Kate Middleton,0.8,middleton_899.txt,True
Adele,0.9,adele_1043.txt,True
UNKNOWN,0.0,cumberbatch_861.txt,False
Christian Bale,0.9,bale_728.txt,True
Elton John,0.9,john_987.txt,True
Adele,0.9,adele_876.txt,True
UNKNOWN,0.0,cumberbatch_501.txt,False
Daniel Craig,0.8,craig_227.txt,True
Dua Lipa,0.9,smith_1027.txt,False
David Beckham,0.9,beckham_763.txt,True
UNKNOWN,0.0,campbell_353.txt,False
UNKNOWN,0.0,craig_378.txt,False
UNKNOWN,0.0,watson_756.txt,False
Elton John,0.9,john_1011.txt,True
UNKNOWN,0.0,radcliffe_282.txt,False
UNKNOWN,0.0,bale_367.txt,False
J.K. Rowling,0.9,rowling_308.txt,True
Sam Smith,0.9,rowling_24.txt,False
J.K. Rowling,0.9,rowling_609.txt,True
Freddie Mercury,0.9,jagger_146.txt,False
Meryl Streep,0.9,dench_354.txt,False
J.K. Rowling,0.9,rowling_854.txt,True
Daniel Radcliffe,0.8,radcliffe_552.txt,True
Kate Middleton,0.9,middleton_384.txt,True
Tom Hanks,0.9,cumberbatch_986.txt,False
Keira Knightley,0.9,delevigne_150.txt,False
Kate Middleton,0.9,middleton_710.txt,True
UNKNOWN,0.0,cumberbatch_326.txt,False
Daniel Radcliffe,0.9,radcliffe_463.txt,True
Christian Bale,0.9,bale_387.txt,True
Taylor Swift,0.9,adele_47.txt,False
Tom Hanks,0.9,bale_194.txt,False
Tom Hanks,0.9,grant_437.txt,False
Tom Cruise,0.9,radcliffe_653.txt,False
UNKNOWN,0.0,dench_48.txt,False
Kate Middleton,0.9,middleton_379.txt,True
Sacha Baron Cohen,0.9,gervais_405.txt,False
UNKNOWN,0.0,delevigne_940.txt,False
Elton John,0.9,john_128.txt,True
Christian Bale,0.9,bale_952.txt,True
Tom Hanks,0.9,bale_740.txt,False
Hugh Grant,0.9,grant_79.txt,True
Daniel Radcliffe,0.9,watson_937.txt,False
Hugh Grant,0.9,grant_107.txt,True
UNKNOWN,0.0,radcliffe_358.txt,False
Hugh Jackman,0.9,craig_476.txt,False
Daniel Radcliffe,0.9,radcliffe_408.txt,True
UNKNOWN,0.8,delevigne_659.txt,False
Mick Jagger,0.9,jagger_262.txt,True
Benedict Cumberbatch,0.9,cumberbatch_221.txt,True
Kate Moss,0.9,moss_725.txt,True
Lionel Messi,0.9,beckham_1008.txt,False
Ed Sheeran,0.9,sheeran_626.txt,True
UNKNOWN,0.0,grant_638.txt,False
Lewis Hamilton,0.9,hamilton_934.txt,True
Lady Gaga,0.9,smith_313.txt,False
Emma Watson,0.9,watson_627.txt,True
David Beckham,0.9,beckham_834.txt,True
Cate Blanchett,0.9,dench_790.txt,False
UNKNOWN,0.0,jagger_984.txt,False
Naomi Campbell,0.9,campbell_62.txt,True
Daniel Radcliffe,0.9,radcliffe_142.txt,True
Ricky Gervais,0.9,gervais_80.txt,True
